Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aadhya,,,,5.0,,6.0,,8.0,22.0,32.0,36.0
Aadya,,,7.0,,,7.0,7.0,11.0,13.0,10.0,23.0
Aahana,,,,6.0,6.0,7.0,12.0,7.0,17.0,9.0,11.0
Aahna,,,,,,,,,,,7.0
Aalaya,,,,,,,,,,,5.0
Aalayah,,,,,6.0,,5.0,7.0,5.0,5.0,
Aaleah,,,,,,,5.0,,,,5.0
Aaleyah,,,,5.0,,7.0,17.0,13.0,18.0,11.0,16.0
Aalia,,,5.0,,,,,5.0,,8.0,7.0
Aaliah,10.0,17.0,10.0,15.0,6.0,18.0,14.0,7.0,8.0,8.0,6.0
Aaliya,6.0,6.0,7.0,7.0,5.0,,7.0,6.0,8.0,14.0,11.0
Aaliyah,423.0,398.0,431.0,475.0,481.0,556.0,563.0,678.0,737.0,706.0,695.0
Aaliyha,,,,5.0,,,,,,,
Aalyah,8.0,7.0,9.0,9.0,12.0,12.0,9.0,6.0,8.0,,5.0
Aalyiah,,,,5.0,6.0,5.0,5.0,,5.0,,8.0
Aamina,,,,,,,,5.0,,,
Aaminah,5.0,,,,,,,,,,
Aamira,,,,,,,,,5.0,,
Aamiyah,,,,,,,,,6.0,5.0,
Aanika,,9.0,8.0,,,,,,,,
Aaniya,,,,,,,5.0,,,,
Aaniyah,,11.0,8.0,13.0,15.0,8.0,10.0,12.0,,11.0,
Aanya,6.0,,20.0,35.0,36.0,32.0,36.0,38.0,42.0,45.0,52.0
Aaradhya,,,,,,,,,8.0,15.0,15.0
Aaralyn,,13.0,14.0,10.0,6.0,11.0,,12.0,20.0,23.0,15.0
Aaria,,,,,,,,,,,5.0
Aariana,6.0,,,,,,,,,,
Aarika,,,,,,,,,5.0,,
Aarini,,,,,,,,,,,6.0
Aariyah,,,,,,6.0,,5.0,,,7.0
Aarna,,,,10.0,10.0,9.0,16.0,28.0,22.0,20.0,35.0
Aarohi,,,,5.0,,7.0,5.0,,,12.0,20.0
Aarushi,11.0,10.0,14.0,6.0,7.0,7.0,14.0,,,8.0,
Aarya,5.0,,6.0,9.0,13.0,10.0,10.0,13.0,23.0,22.0,34.0
Aaryn,5.0,,,,,5.0,6.0,,,,10.0
Aasha,,5.0,,,,,,,,,
Aashi,,5.0,,6.0,,12.0,12.0,,8.0,10.0,9.0
Aashna,6.0,6.0,6.0,10.0,10.0,7.0,9.0,9.0,9.0,10.0,5.0
Aashritha,,,,,,5.0,,,,,
Aashvi,,,,,,,,,,,7.0
Aastha,7.0,6.0,,,6.0,5.0,,,,,
Aayla,,,,,,,,,5.0,5.0,6.0
Abagail,10.0,15.0,21.0,14.0,16.0,15.0,15.0,17.0,8.0,10.0,6.0
Abbagail,,,,,,,,7.0,,,
Abbey,34.0,30.0,26.0,31.0,35.0,34.0,29.0,38.0,45.0,41.0,24.0
