Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aadan,,,,,7.0,6.0,,,,,5.0
Aaden,,,,20.0,135.0,158.0,62.0,39.0,38.0,28.0,31.0
Aadhav,,,,,,,,,,,6.0
Aadi,8.0,8.0,7.0,13.0,13.0,10.0,6.0,6.0,12.0,11.0,10.0
Aadit,,,,7.0,5.0,,,,,,6.0
Aaditya,,6.0,10.0,10.0,11.0,5.0,,7.0,,5.0,7.0
Aadyn,,,,,,8.0,,,6.0,,
Aahan,,,,6.0,,8.0,,,,,
Aahil,,,,5.0,,,,,7.0,,6.0
Aaiden,,,,,,11.0,11.0,8.0,,13.0,12.0
Aakash,8.0,,5.0,7.0,5.0,8.0,6.0,8.0,8.0,6.0,8.0
Aalijah,,,,,,,,5.0,,,
Aamir,,6.0,,9.0,15.0,9.0,7.0,11.0,11.0,7.0,9.0
Aarav,9.0,18.0,28.0,35.0,35.0,47.0,81.0,87.0,85.0,83.0,122.0
Aaren,,,,6.0,7.0,8.0,6.0,,,,
Aaric,,,,,,,,,,,6.0
Aarin,,,,5.0,,8.0,,8.0,6.0,,9.0
Aarion,,,,,,,,6.0,,,
Aariv,,,,,,,,,,,8.0
Aariz,,,,,,7.0,,8.0,8.0,7.0,
Aarnav,5.0,,,,,8.0,7.0,8.0,6.0,8.0,5.0
Aaron,1249.0,1316.0,1317.0,1607.0,1561.0,1526.0,1440.0,1526.0,1557.0,1523.0,1637.0
Aaronjames,,,5.0,6.0,,,,,,,
Aarush,,11.0,14.0,23.0,22.0,23.0,38.0,33.0,25.0,38.0,29.0
Aarya,,,5.0,,5.0,5.0,7.0,,,5.0,
Aaryan,10.0,7.0,10.0,13.0,17.0,14.0,15.0,21.0,12.0,17.0,21.0
Aayan,,,12.0,13.0,8.0,20.0,6.0,8.0,19.0,14.0,14.0
Aayden,,,,,,9.0,14.0,18.0,19.0,15.0,23.0
Aayush,8.0,7.0,9.0,14.0,13.0,11.0,14.0,6.0,10.0,10.0,15.0
Ab,11.0,8.0,7.0,8.0,7.0,,,,,,
Abbas,,,9.0,5.0,7.0,7.0,,7.0,,9.0,
Abbott,,,,,,,,,,5.0,
Abdallah,,6.0,9.0,,,,,,,,
Abdel,,,,5.0,,,,,,,
Abdelrahman,,,,,,,,,,,5.0
Abdi,,6.0,,,,,,,,,
Abdias,,,,,5.0,,5.0,6.0,5.0,5.0,
Abdiel,16.0,36.0,26.0,26.0,27.0,33.0,46.0,35.0,37.0,39.0,39.0
Abdirahman,,,,,7.0,5.0,,7.0,,6.0,
Abdul,10.0,8.0,7.0,8.0,10.0,10.0,5.0,8.0,13.0,6.0,9.0
Abdulahi,,,,,5.0,,,,,,
