Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aadya,,,,,,,,5.0,,,
Aaima,,,,,,,,,,5.0,
Aaleyah,,,,,,,5.0,,,,6.0
Aalia,,,,,,,,6.0,,,5.0
Aaliya,5.0,6.0,,,5.0,6.0,,5.0,,5.0,9.0
Aaliyah,229.0,214.0,213.0,188.0,186.0,251.0,236.0,296.0,274.0,305.0,243.0
Aamira,,,,,,,,,,,6.0
Aaniyah,12.0,,,,,6.0,,,5.0,,
Aanya,,,6.0,6.0,12.0,9.0,19.0,10.0,9.0,8.0,12.0
Aaralyn,,,8.0,5.0,,,,,,,6.0
Aarna,,,,,,,,,,,5.0
Aaron,5.0,,,,,,,5.0,,,
Aarushi,,,,,6.0,5.0,,,,,
Aarya,,,,,,,,,9.0,11.0,20.0
Aashi,,,5.0,,,,,,,,
Aayat,,,,,,,,,7.0,,
Abagail,11.0,11.0,10.0,15.0,13.0,12.0,11.0,13.0,10.0,,5.0
Abbey,19.0,19.0,17.0,9.0,19.0,15.0,16.0,16.0,6.0,10.0,6.0
Abbie,15.0,9.0,12.0,11.0,8.0,16.0,12.0,11.0,17.0,11.0,10.0
Abbigail,14.0,14.0,19.0,16.0,15.0,20.0,19.0,10.0,13.0,11.0,11.0
Abbigale,6.0,,,,,,,,,,
Abby,61.0,48.0,55.0,57.0,56.0,56.0,38.0,43.0,34.0,56.0,56.0
Abbygail,7.0,,,,8.0,8.0,8.0,7.0,15.0,,5.0
Abeeha,,,,,,,,,,6.0,
Abella,,,,,,,,,7.0,,
Abena,,,,7.0,,,,,,,
Abigael,13.0,,9.0,6.0,5.0,5.0,8.0,5.0,5.0,6.0,
Abigaelle,,,,,,,,,,5.0,
Abigail,759.0,757.0,724.0,786.0,742.0,764.0,784.0,749.0,763.0,715.0,723.0
Abigal,,,,,,,7.0,,,,
Abigale,9.0,13.0,9.0,12.0,9.0,9.0,11.0,7.0,13.0,8.0,5.0
Abigayle,10.0,14.0,8.0,10.0,7.0,5.0,5.0,6.0,5.0,,
Abiha,,,,,,,,,7.0,,
Abrar,,,,6.0,8.0,,,5.0,,6.0,
Abriana,7.0,,6.0,6.0,8.0,,8.0,,,5.0,
Abrianna,5.0,,15.0,13.0,8.0,15.0,13.0,8.0,10.0,11.0,9.0
Abriel,,,,5.0,,,,,,,
Abriella,,,,,,,5.0,6.0,5.0,11.0,5.0
Abrielle,,,,9.0,10.0,8.0,8.0,13.0,14.0,32.0,21.0
Abril,8.0,8.0,9.0,25.0,14.0,10.0,19.0,10.0,,11.0,11.0
Aby,,,,,5.0,,,,,,
Abygail,6.0,5.0,6.0,,5.0,6.0,8.0,,7.0,7.0,
Acacia,5.0,,,,5.0,,5.0,5.0,,,5.0
Acadia,,,7.0,6.0,,,,,6.0,,
Ada,31.0,26.0,33.0,34.0,40.0,40.0,40.0,38.0,47.0,48.0,48.0
Adalee,,,,,,,,,,5.0,5.0
Adalia,,,8.0,,,,,5.0,9.0,8.0,10.0
Adalina,,,,,,,,,,7.0,5.0
Adaline,,,,,,,,8.0,,5.0,
Adalyn,,,,5.0,16.0,15.0,13.0,36.0,40.0,35.0,45.0
Adalynn,,,,,,7.0,9.0,15.0,24.0,36.0,54.0
Adam,,,,,7.0,,,,,,
Adama,11.0,7.0,12.0,9.0,6.0,7.0,,5.0,6.0,6.0,
Adamari,,,6.0,,,,,,,,
Adamaris,5.0,5.0,14.0,11.0,7.0,7.0,10.0,8.0,5.0,,7.0
Adanna,,,5.0,,,,,,,,
Adara,,5.0,6.0,,,,,,6.0,7.0,5.0
Adaya,,,,,6.0,,,,6.0,,
Addalyn,,,,,,,,,,,8.0
Addalynn,,,,,,,,,,5.0,
Addelyn,,,,,,,,,,,6.0
Addie,,,,,5.0,,5.0,,5.0,6.0,
Addilyn,,,,,,,,,,11.0,7.0
Addilynn,,,,,,,,,,,7.0
Addison,22.0,37.0,158.0,280.0,271.0,313.0,311.0,306.0,299.0,290.0,251.0
Addisyn,,5.0,7.0,5.0,13.0,16.0,19.0,14.0,24.0,14.0,19.0
Addyson,,,10.0,19.0,17.0,22.0,35.0,38.0,32.0,27.0,17.0
Adel,,,,,,5.0,,,,,
Adela,7.0,,9.0,6.0,10.0,7.0,14.0,5.0,15.0,17.0,8.0
Adelaide,8.0,17.0,15.0,20.0,30.0,28.0,32.0,37.0,49.0,46.0,59.0
Adele,10.0,12.0,15.0,14.0,14.0,12.0,19.0,47.0,55.0,50.0,56.0
Adelia,5.0,,6.0,,,,,,5.0,7.0,
Adelina,9.0,9.0,20.0,17.0,17.0,21.0,17.0,18.0,25.0,37.0,43.0
Adeline,18.0,21.0,20.0,32.0,31.0,41.0,42.0,63.0,60.0,62.0,63.0
Adella,,,,,,5.0,,,,,
Adelle,,6.0,,,9.0,6.0,9.0,7.0,10.0,9.0,6.0
Adelyn,5.0,,5.0,9.0,11.0,14.0,30.0,29.0,37.0,50.0,67.0
Adelynn,,,,,,,11.0,9.0,16.0,18.0,29.0
Adi,,,,6.0,,,,,6.0,7.0,5.0
Adia,6.0,13.0,7.0,10.0,5.0,6.0,5.0,,6.0,,
Adiba,,,,,,5.0,,5.0,5.0,,5.0
Adilene,,,,,,,,,5.0,,
Adilyn,,,,,,,,,,,8.0
Adina,31.0,35.0,35.0,26.0,36.0,37.0,30.0,37.0,39.0,33.0,33.0
Adira,,,6.0,,,5.0,,,,6.0,8.0
Adison,,5.0,8.0,6.0,9.0,5.0,7.0,5.0,6.0,,6.0
Adisyn,,,,,,,5.0,,,,
Aditi,7.0,7.0,,6.0,9.0,11.0,8.0,10.0,8.0,8.0,7.0
Adley,,,,,,,,,5.0,,
Adria,,,,6.0,,,6.0,,,,
Adrian,,,5.0,5.0,10.0,,6.0,11.0,8.0,,
Adriana,210.0,198.0,235.0,229.0,225.0,224.0,230.0,227.0,239.0,194.0,184.0
Adrianna,137.0,148.0,183.0,188.0,171.0,170.0,193.0,167.0,170.0,138.0,119.0
Adrianne,,,,,,,6.0,6.0,,,
Adrienne,14.0,13.0,22.0,13.0,18.0,19.0,22.0,18.0,19.0,23.0,11.0
Adrina,,,,,,,,6.0,,,
Adrionna,,,,5.0,,,,,,,
Adyson,,,7.0,8.0,7.0,6.0,7.0,9.0,5.0,,9.0
Aela,,,,,,,,,,,5.0
Aerabella,,,,,,,,,,5.0,
Aerin,6.0,,,5.0,6.0,,,,,,
Aeris,,5.0,,,6.0,6.0,,,,,
Aeryn,,,,,,,,,,,5.0
Afia,8.0,5.0,6.0,8.0,,5.0,6.0,,5.0,,
Afnan,,,,,6.0,,,,,,
Afra,,,6.0,,,,,,,,
Afreen,,,,,5.0,,,5.0,5.0,,5.0
Afsheen,,,,,,,,,,,8.0
Agatha,5.0,9.0,,,,,5.0,6.0,6.0,7.0,6.0
Agnes,,6.0,10.0,,8.0,,7.0,11.0,17.0,9.0,13.0
Ahana,,,,,,,,,5.0,,
Ahlam,,,,5.0,,,,,,,
Ahna,,,,,,,,,,,5.0
Ahuva,18.0,14.0,21.0,20.0,26.0,24.0,42.0,26.0,21.0,33.0,32.0
Aicha,,15.0,14.0,11.0,12.0,8.0,13.0,19.0,15.0,15.0,24.0
Aida,23.0,18.0,9.0,9.0,10.0,12.0,12.0,9.0,13.0,10.0,14.0
Aidan,13.0,5.0,,7.0,,,,,,5.0,
Aidel,6.0,5.0,11.0,5.0,7.0,9.0,10.0,8.0,6.0,,9.0
Aideliz,,,,,6.0,,,,,,
Aiden,5.0,8.0,5.0,5.0,9.0,8.0,8.0,,,5.0,7.0
Aidy,,,,6.0,,,,,,6.0,
Aila,,6.0,5.0,8.0,,5.0,,10.0,10.0,6.0,12.0
Ailani,5.0,,10.0,,,8.0,,5.0,,7.0,
Ailee,,,,,,,,,5.0,,
Aileen,35.0,41.0,23.0,28.0,32.0,41.0,41.0,41.0,38.0,38.0,31.0
Ailey,,,,,,5.0,,,6.0,,
Aili,,,,,,,,,,5.0,
Ailin,,,,,,,,,6.0,5.0,5.0
Ailish,,,,,8.0,,,,,,
Ailyn,,,7.0,,,10.0,5.0,11.0,9.0,,9.0
Aiman,5.0,,,,,,,,,,
Aime,,,,,,,6.0,,,,
Aimee,26.0,29.0,17.0,14.0,21.0,27.0,25.0,20.0,19.0,27.0,22.0
Aine,9.0,,9.0,14.0,11.0,7.0,5.0,5.0,10.0,5.0,
Ainsley,22.0,26.0,20.0,24.0,14.0,22.0,20.0,25.0,15.0,27.0,31.0
Airianna,,,,,5.0,,,,,,
Aisatou,,5.0,,,,,,,,,
Aisha,51.0,55.0,39.0,50.0,46.0,42.0,55.0,57.0,61.0,68.0,64.0
Aishah,7.0,,,7.0,6.0,,,,,5.0,6.0
Aislin,,5.0,,6.0,,,6.0,,,5.0,
Aisling,5.0,5.0,,5.0,,9.0,,8.0,5.0,,
Aislinn,9.0,6.0,10.0,8.0,,11.0,5.0,9.0,7.0,5.0,
Aislyn,,,6.0,,,,,8.0,6.0,,5.0
Aislynn,,,,,,,,,,5.0,
Aissata,,5.0,16.0,9.0,8.0,10.0,9.0,7.0,,10.0,
Aissatou,15.0,11.0,13.0,12.0,20.0,14.0,14.0,16.0,14.0,14.0,13.0
Aiva,,,,,,,,,5.0,,
