Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aaban,,,,,,,,,,6.0,6.0
Aaden,,,,8.0,63.0,59.0,20.0,16.0,14.0,9.0,14.0
Aadi,,,,,7.0,7.0,5.0,,,5.0,
Aadyn,,,,,5.0,,,,,,
Aahil,,,,,,,,9.0,6.0,7.0,18.0
Aaiden,,,,,,6.0,,,5.0,,
Aakash,,,,,,,,,,,5.0
Aamir,7.0,10.0,,8.0,10.0,7.0,8.0,9.0,14.0,13.0,13.0
Aarav,,5.0,9.0,8.0,14.0,13.0,20.0,27.0,22.0,26.0,24.0
Aariz,,,,,,7.0,,,,5.0,9.0
Aaron,519.0,501.0,519.0,547.0,536.0,493.0,505.0,478.0,529.0,488.0,477.0
Aarush,,,,6.0,8.0,8.0,15.0,6.0,6.0,8.0,8.0
Aarya,5.0,,,,,,,,,,
Aaryan,,5.0,,,5.0,7.0,,9.0,,,
Aaryn,,,,,,,,,,,5.0
Aasim,,,,,,,,5.0,,,
Aayan,,,11.0,18.0,21.0,27.0,21.0,9.0,20.0,19.0,17.0
Aayden,,,,,,11.0,7.0,11.0,,,12.0
Aayush,,,5.0,5.0,,,,,5.0,5.0,5.0
Abba,,,,,,,,,,6.0,6.0
Abbas,5.0,,,5.0,8.0,,7.0,9.0,5.0,,6.0
Abdallah,7.0,,,5.0,,,5.0,,6.0,5.0,7.0
Abdiel,5.0,5.0,,7.0,9.0,9.0,15.0,20.0,20.0,15.0,11.0
Abdo,,,,5.0,,,,,,,
Abdou,5.0,6.0,,5.0,,,,,,,
Abdoul,6.0,5.0,7.0,8.0,11.0,8.0,,16.0,6.0,7.0,10.0
Abdoulaye,11.0,13.0,13.0,20.0,13.0,10.0,12.0,20.0,17.0,17.0,12.0
Abdoulie,,,,,,5.0,,,5.0,,
Abdul,28.0,35.0,24.0,28.0,34.0,34.0,17.0,30.0,28.0,26.0,28.0
Abdulaziz,,,,,5.0,,5.0,,7.0,,8.0
Abdulla,,,,,5.0,,,,,,7.0
Abdullah,25.0,29.0,42.0,40.0,29.0,41.0,32.0,47.0,48.0,45.0,46.0
