Pos,Title,Author,Imprint,Volume,"Value, £"
1,"Da Vinci Code,The","Brown, Dan",Corgi Books,"4,522,025","22,857,838"
2,Harry Potter and the Philosopher's Stone,"Rowling, J. K.",Bloomsbury Pub PLC,"3,844,316","19,853,187"
3,Harry Potter and the Chamber of Secrets,"Rowling, J. K.",Bloomsbury Pub PLC,"3,184,492","16,224,022"
4,Angels and Demons,"Brown, Dan",Corgi Books,"3,096,850","15,537,325"
5,Harry Potter and the Order of the Phoenix,"Rowling, J. K.",Bloomsbury Pub PLC,"3,043,226","33,925,431"
6,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J. K.",Bloomsbury Pub PLC,"2,947,565","28,030,020"
7,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Pub PLC,"2,842,059","25,028,396"
8,Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",Bloomsbury Pub PLC,"2,776,314","14,140,491"
9,Twilight,"Meyer, Stephenie",ATOM,"2,105,862","10,148,763"
10,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Pub PLC,"2,057,397","10,745,711.77"
11,Deception Point,"Brown, Dan",Corgi Books,"2,018,264","10,047,195.89"
12,New Moon,"Meyer, Stephenie",ATOM,"1,975,659","9,425,640.57"
13,"Lovely Bones,The","Sebold, Alice",Picador,"1,942,042","11,561,201.71"
14,Digital Fortress,"Brown, Dan",Corgi Books,"1,911,943","9,642,124.01"
15,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark",Vintage,"1,868,969","10,196,570.23"
16,Eclipse,"Meyer, Stephenie",ATOM,"1,846,171","8,981,704.14"
17,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg",Quercus,"1,697,425","9,205,553.55"
18,"Kite Runner,The","Hosseini, Khaled",Bloomsbury Pub PLC,"1,551,953","9,317,049.76"
19,"Time Traveler's Wife,The","Niffenegger, Audrey",Vintage,"1,496,081","8,227,127.81"
20,"World According to Clarkson,The","Clarkson, Jeremy",Penguin Books,"1,447,188","7,503,190.76"
21,Atonement,"McEwan, Ian",Vintage,"1,396,366","8,671,447.35"
22,"Lost Symbol,The","Brown, Dan",Bantam Press,"1,370,347","13,052,345.93"
23,"Short History of Nearly Everything,A","Bryson, Bill",Black Swan,"1,334,635","9,911,709.25"
24,Breaking Dawn,"Meyer, Stephenie",ATOM,"1,315,685","12,034,126.42"
25,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Pub PLC,"1,297,411","14,875,830.76"
26,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Pub PLC,"1,283,638","12,081,283.05"
27,"Girl Who Played With Fire,The:Millennium Trilogy","Larsson, Stieg",Quercus Pub Plc,"1,265,474","6,706,614.76"
28,"Child Called It,A","Pelzer, Dave",Orion (an Imprint of The Orion,"1,116,042","5,566,648.20"
