,Pos,Title,Author,Imprint,Volume,"Value, £"
0,1,"Da Vinci Code,The","Brown, Dan",Corgi Books,4522025,22857838
1,2,Harry Potter and the Philosopher's Stone,"Rowling, J. K.",Bloomsbury Pub PLC,3844316,19853187
2,3,Harry Potter and the Chamber of Secrets,"Rowling, J. K.",Bloomsbury Pub PLC,3184492,16224022
3,4,Angels and Demons,"Brown, Dan",Corgi Books,3096850,15537325
4,5,Harry Potter and the Order of the Phoenix,"Rowling, J. K.",Bloomsbury Pub PLC,3043226,33925431
5,6,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J. K.",Bloomsbury Pub PLC,2947565,28030020
6,7,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Pub PLC,2842059,25028396
7,8,Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",Bloomsbury Pub PLC,2776314,14140491
8,9,Twilight,"Meyer, Stephenie",ATOM,2105862,10148763
9,10,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Pub PLC,2057397,10745711.77
10,11,Deception Point,"Brown, Dan",Corgi Books,2018264,10047195.89
11,12,New Moon,"Meyer, Stephenie",ATOM,1975659,9425640.57
12,13,"Lovely Bones,The","Sebold, Alice",Picador,1942042,11561201.71
13,14,Digital Fortress,"Brown, Dan",Corgi Books,1911943,9642124.01
14,15,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark",Vintage,1868969,10196570.23
15,16,Eclipse,"Meyer, Stephenie",ATOM,1846171,8981704.14
16,17,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg",Quercus,1697425,9205553.55
17,18,"Kite Runner,The","Hosseini, Khaled",Bloomsbury Pub PLC,1551953,9317049.76
18,19,"Time Traveler's Wife,The","Niffenegger, Audrey",Vintage,1496081,8227127.81
19,20,"World According to Clarkson,The","Clarkson, Jeremy",Penguin Books,1447188,7503190.76
20,21,Atonement,"McEwan, Ian",Vintage,1396366,8671447.35
21,22,"Lost Symbol,The","Brown, Dan",Bantam Press,1370347,13052345.93
22,23,"Short History of Nearly Everything,A","Bryson, Bill",Black Swan,1334635,9911709.25
23,24,Breaking Dawn,"Meyer, Stephenie",ATOM,1315685,12034126.42
24,25,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Pub PLC,1297411,14875830.76
25,26,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Pub PLC,1283638,12081283.05
26,27,"Girl Who Played With Fire,The:Millennium Trilogy","Larsson, Stieg",Quercus Pub Plc,1265474,6706614.76
27,28,"Child Called It,A","Pelzer, Dave",Orion (an Imprint of The Orion,1116042,5566648.20
28,29,"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander",Abacus,1106219,6322496
