,info,occupation,zip_code
0,M24,technician,85711
1,F53,other,94043
2,M23,writer,32067
3,M24,technician,43537
4,F33,other,15213
5,M42,executive,98101
6,M57,administrator,91344
7,M36,administrator,05201
8,M29,student,01002
9,M53,lawyer,90703
10,F39,other,30329
11,F28,other,06405
12,M47,educator,29206
13,M45,scientist,55106
14,F49,educator,97301
15,M21,entertainment,10309
16,M30,programmer,06355
17,F35,other,37212
18,M40,librarian,02138
19,F42,homemaker,95660
20,M26,writer,30068
21,M25,writer,40206
22,F30,artist,48197
23,F21,artist,94533
24,M39,engineer,55107
25,M49,engineer,21044
26,F40,librarian,30030
27,M32,writer,55369
28,M41,programmer,94043
29,M7,student,55436
30,M24,artist,10003
31,F28,student,78741
32,M23,student,27510
33,F38,administrator,42141
34,F20,homemaker,42459
35,F19,student,93117
36,M23,student,55105
37,F28,other,54467
38,M41,entertainment,01040
39,M38,scientist,27514
40,M33,engineer,80525
41,M30,administrator,17870
42,F29,librarian,20854
43,M26,technician,46260
44,M29,programmer,50233
45,F27,marketing,46538
46,M53,marketing,07102
47,M45,administrator,12550
48,F23,student,76111
49,M21,writer,52245
50,M28,educator,16509
51,F18,student,55105
52,M26,programmer,55414
53,M22,executive,66315
54,M37,programmer,01331
55,M25,librarian,46260
56,M16,none,84010
57,M27,programmer,52246
58,M49,educator,08403
59,M50,healthcare,06472
60,M36,engineer,30040
61,F27,administrator,97214
62,M31,marketing,75240
63,M32,educator,43202
64,F51,educator,48118
65,M23,student,80521
66,M17,student,60402
67,M19,student,22904
68,M24,engineer,55337
69,M27,engineer,60067
70,M39,scientist,98034
71,F48,administrator,73034
72,M24,student,41850
73,M39,scientist,T8H1N
74,M24,entertainment,08816
75,M20,student,02215
76,M30,technician,29379
77,M26,administrator,61801
78,F39,administrator,03755
79,F34,administrator,52241
80,M21,student,21218
81,M50,programmer,22902
82,M40,other,44133
83,M32,executive,55369
84,M51,educator,20003
85,M26,administrator,46005
86,M47,administrator,89503
87,F49,librarian,11701
88,F43,administrator,68106
89,M60,educator,78155
90,M55,marketing,01913
91,M32,entertainment,80525
92,M48,executive,23112
93,M26,student,71457
94,M31,administrator,10707
95,F25,artist,75206
96,M43,artist,98006
97,F49,executive,90291
98,M20,student,63129
99,M36,executive,90254
100,M15,student,05146
101,M38,programmer,30220
102,M26,student,55108
103,M27,student,55108
104,M24,engineer,94043
105,M61,retired,55125
106,M39,scientist,60466
107,M44,educator,63130
108,M29,other,55423
109,M19,student,77840
110,M57,engineer,90630
111,M30,salesman,60613
112,M47,executive,95032
113,M27,programmer,75013
114,M31,engineer,17110
115,M40,healthcare,97232
116,M20,student,16125
117,M21,administrator,90210
118,M32,programmer,67401
119,F47,other,06260
120,M54,librarian,99603
121,F32,writer,22206
122,F48,artist,20008
123,M34,student,60615
124,M30,lawyer,22202
125,F28,lawyer,20015
126,M33,none,73439
127,F24,marketing,20009
128,F36,marketing,07039
129,M20,none,60115
130,F59,administrator,15237
131,M24,other,94612
132,M53,engineer,78602
133,M31,programmer,80236
134,M23,student,38401
135,M51,other,97365
136,M50,educator,84408
137,M46,doctor,53211
138,M20,student,08904
139,F30,student,32250
140,M49,programmer,36117
141,M13,other,48118
142,M42,technician,08832
143,M53,programmer,20910
144,M31,entertainment,V3N4P
145,M45,artist,83814
146,F40,librarian,02143
147,M33,engineer,97006
148,F35,marketing,17325
149,F20,artist,02139
150,F38,administrator,48103
151,F33,educator,68767
152,M25,student,60641
153,M25,student,53703
154,F32,other,11217
155,M25,educator,08360
156,M57,engineer,70808
157,M50,educator,27606
158,F23,student,55346
159,M27,programmer,66215
160,M50,lawyer,55104
161,M25,artist,15610
162,M49,administrator,97212
163,M47,healthcare,80123
164,F20,other,53715
165,M47,educator,55113
166,M37,other,L9G2B
167,M48,other,80127
168,F52,other,53705
169,F53,healthcare,30067
