"Date","Chrome for Android","Safari iPhone","Chrome 63.0","Chrome 67.0","Chrome 70.0","Chrome 66.0","Chrome 65.0","Chrome 71.0","Chrome 69.0","IE 11.0","Chrome 68.0","Chrome 64.0","Safari iPad","Android 0","UC Browser 12.9","Edge 17","Edge 16","Chrome 49.0","Safari 11.1","Chrome for iPhone","Firefox 59.0","UC Browser 12.2","UC Browser 12.0","Safari 11.0","Firefox 61.0","UC Browser 12.8","UC Browser 11.5","Firefox 58.0","UC Browser 12.5","Firefox 60.0","Safari 12.0","Samsung Internet 6.4","Samsung Internet 7.4","Firefox 62.0","Firefox 63.0","Firefox 57.0","UC Browser 11.0","Firefox 52.0","Firefox 64.0","Opera Mini 32.0","UC Browser 7.0","Samsung Internet 6.2","UC Browser 11.4","Samsung Internet 7.2","UC Browser 11.1","Safari 10.1","Chrome 55.0","Chrome iPad","Samsung Internet 3.5","Samsung Internet 8.2","Chrome 58.0","KaiOS 2.0","Chrome 62.0","Chrome 29.0","Chrome 61.0","UC Browser 11.3","IE 8.0","Opera Mini 4.4","Opera Mini 33.0","Opera 56.0","Samsung Internet 3.3","Firefox 48.0","Edge 15","IE 9.0","Safari 9.1","KaiOS 2.5","IEMobile 11.0","Samsung Internet 4.0","Opera 37.0","UC Browser 10.7","Opera 52.0","Chrome 60.0","Opera 54.0","UC Browser 2.0","Chrome 56.0","Firefox 56.0","Opera 50.0","Opera Mini 36.2","UC Browser 10.10","UC Browser 10.9","Edge 14","Opera Mini 4.5","IE 10.0","UC Browser 11.2","Opera 53.0","Samsung Internet 4.2","Chrome 57.0","Opera 51.0","Chrome 59.0","Opera Mini 7.5","Opera 57.0","Samsung Internet 2.0","Samsung Internet 5.4","Opera 55.0","Safari 10.0","Opera Mini 8.0","Samsung Internet 7.0","UC Browser 11.8","Sony PS4 0","UC Browser 11.9","Opera Mini 35.0","Chrome 54.0","Samsung Internet 5.2","Firefox 47.0","Opera Mini 7.6","Opera Mini 35.3","Sogou Explorer 0","Opera Mini 35.1","Chrome 48.0","UC Browser 10.8","Chrome 43.0","Samsung Internet 1.1","mCent 0.13","Firefox 38.0","Opera 12.1","Safari 5.1","Opera Mini 30.0","Opera 49.0","Samsung Internet 2.1","Firefox 51.0","UC Browser 12.1","BlackBerry 0","Yandex Browser 17.11","Opera Mini 31.0","Opera Mini 28.0","Chrome 51.0","Nokia 0","Firefox 53.0","UC Browser 10.6","Opera Mini 20.0","UC Browser 10.1","Coc Coc 68.4","Safari 9.0","Firefox 55.0","Chrome 38.0","Safari 8.0","Chrome 52.0","Edge 13","Firefox 54.0","Safari iPod Touch","Opera Mini 37.1","Chrome 47.0","Edge 18","Firefox 45.0","Opera 36.0","Unknown 0","Puffin 7.7","Chrome 40.0","QQ Browser 6.2","Opera Mini 4.2","QQ Browser 9.7","Chrome 41.0","Firefox 50.0","Firefox 43.0","Puffin 5.2","Yandex Browser 18.1","Chrome 53.0","Opera Mini 7.1","Opera Mini 29.0","Chrome 31.0","Chrome 50.0","360 Safe Browser 0","UC Browser 4.2","Yandex Browser 18.9","Opera Mini 15.0","Yandex Browser 18.4","Opera Mini 36.1","Edge 12","Yandex Browser 18.7","Chrome 45.0","Yandex Browser 18.10","Opera Mini 26.0","Firefox 44.0","Chrome 34.0","Chrome 46.0","UC Browser 10.4","Firefox 49.0","Chrome 72.0","Opera Mini 38.0","Chrome 22.0","UC Browser 10.5","Opera Mini 16.0","Opera Mini 24.0","Opera 45.1","UC Browser 9.5","QQ Browser 8.9","UC Browser 9.7","UC Browser 9.2","Opera Mini 37.3","QQ Browser 8.2","UC Browser 9.9","Opera 32.0","Opera Mini 27.0","IEMobile 10.0","Opera 46.3","Mozilla 0","Yandex Browser 18.11","Opera 44.1","Coc Coc 72.4","Maxthon 5.1","Chrome 35.0","Coc Coc 70.4","Opera 44.6","Opera 47.1","Chromium 25.0","Opera 36.2","Chrome 42.0","Phantom 0","Opera Mini 12.0","Opera 47.3","Opera 38.0","UC Browser 9.8","QQ Browser 7.3","QQ Browser 8.3","Yandex Browser 18.2","Opera Mini 18.0","Opera 12.5","Yandex Browser 18.6","UC Browser 6.2","Chrome 39.0","Samsung Internet 1.0","Chrome 36.0","Chrome 33.0","UC Browser 9.6","QQ Browser 8.1","Chrome 24.0","Chrome 37.0","Opera Mini 21.0","Chrome 30.0","Puffin 7.5","Opera Mini 7.7","Firefox 65.0","QQ Browser 8.4","Opera Mini 11.0","Tizen 0","Yandex Browser 18.3","Maxthon 5.2","Puffin 7.0","Samsung Internet 5.0","Opera 45.0","Safari 6.1","QQ Browser 8.6","Opera Mini 0","Chrome 44.0","Chrome 11.0","Firefox 3.6","Samsung Internet 8.0","Opera 49.2","Opera 37.3","Firefox 31.0","Opera Mini 36.0","Safari 5.0","Samsung Internet 6.0","Opera Mini 4.1","QQ Browser 8.5","Firefox 41.0","IE 7.0","Opera 33.0","Firefox 40.0","Samsung Internet 6.3","Coc Coc 75.4","Coc Coc 76.0","IE 6.0","Chromium 65.0","Safari 6.2","Opera 43.0","UC Browser 11.6","UC Browser 11.7","Other"
2018-01,27.08,9.34,23.41,0,0,0,0.05,0,0,2.73,0,0.58,2.48,1.79,0,0.01,1.17,0.95,0,0.61,0.02,0,0.37,1.49,0,0,2.82,0.46,0,0,0,0,0,0,0,3.33,1.19,0.42,0,0.87,0.35,1.51,1.05,0,0.14,0.42,0.35,0.21,0.26,0,0.22,0,0.63,0.11,0.4,0.33,0.2,0.2,0,0,0.21,0.4,0.44,0.12,0.24,0,0.17,0.18,0.15,0.23,0,0.25,0,0.3,0.13,0.16,0.42,0,0.17,0.26,0.19,0.14,0.13,0.16,0,0.09,0.14,0.01,0.2,0.13,0,0.1,0.17,0,0.16,0.12,0,0.26,0.07,0,0,0.08,0.07,0.06,0.08,0,0.05,0,0.06,0.1,0.08,0.06,0,0.04,0.08,0.09,0.13,0.36,0.06,0.07,0,0.07,0.22,0.15,0.08,0.06,0.09,0.04,0.06,0.05,0.06,0.08,0.06,0.06,0.03,0.04,0.04,0.05,0.05,0.04,0,0.05,0,0.04,0.04,0.04,0,0.03,0.03,0.04,0.03,0.02,0.04,0.04,0.02,0,0.04,0.04,0.07,0.03,0.03,0.03,0.06,0,0.03,0,0,0.03,0,0.03,0,0.03,0.03,0.03,0.03,0.04,0.03,0,0,0.02,0.03,0.02,0.03,0,0.03,0,0.02,0.03,0,0,0.02,0.04,0.03,0.03,0,0.01,0,0.08,0,0.03,0.01,0,0,0,0.02,0,0.03,0.03,0.02,0,0,0.01,0,0,0,0.02,0.01,0,0.02,0.02,0.02,0.01,0.02,0.02,0.07,0.01,0.01,0.03,0.01,0,0.02,0,0,0.02,0.04,0,0,0.04,0.02,0.01,0.01,0,0.01,0.02,0.02,0.03,0,0,0,0.01,0,0.02,0.01,0.02,0,0.02,0.01,0,0.01,0.05,0,0,0.01,0,0.01,0.02,0.02,0.03,1.38
2018-02,27.59,9.56,13.75,0,0,0.03,0.06,0,0,2.63,0,11.54,2.4,1.72,0,0.01,1.4,0.83,0.01,0.63,0.11,0.13,2.37,1.53,0,0,1.25,3.41,0,0,0,0.23,0,0,0,0.28,0.94,0.43,0,0.94,0.35,1.39,0.66,0,0.24,0.34,0.33,0.2,0.26,0,0.19,0,0.3,0.25,0.29,0.28,0.17,0.18,0.02,0,0.21,0.37,0.24,0.11,0.18,0,0.17,0.17,0.16,0.19,0.01,0.19,0,0.22,0.12,0.14,0.59,0,0.15,0.18,0.14,0.12,0.12,0.12,0,0.11,0.13,0.2,0.16,0.11,0,0.1,0.15,0,0.12,0.1,0,0.27,0.08,0,0,0.08,0.08,0.05,0.07,0,0.05,0,0.08,0.09,0.07,0.06,0,0.04,0.06,0.09,0.09,0.02,0.06,0.07,0,0.07,0.19,0.09,0.07,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.03,0.05,0.03,0.03,0.04,0.04,0.04,0.04,0,0.04,0,0.04,0.04,0.03,0,0.02,0.03,0.04,0.04,0.01,0.04,0.04,0.02,0.05,0.03,0.03,0.05,0.02,0.03,0.02,0.05,0,0.03,0,0,0.02,0,0.03,0,0.03,0.04,0.02,0.03,0.03,0.03,0,0,0.02,0.03,0.02,0.03,0,0.03,0,0.02,0.03,0,0.07,0.02,0.04,0.02,0.03,0,0.01,0,0.06,0,0.03,0.01,0,0,0,0.02,0,0.02,0.03,0.02,0,0,0.01,0,0,0,0.02,0.01,0,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0,0.01,0,0,0.02,0.02,0,0,0.05,0.02,0.04,0.01,0,0.01,0.02,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0.01,0,0.02,0.01,0,0.01,0.05,0,0,0.01,0,0.01,0.01,0.02,0.02,1.1
2018-03,28.09,9.87,1.31,0.02,0,0.05,8.39,0,0,2.7,0,15.31,2.53,1.62,0,0.02,1.57,0.82,0.02,0.63,1.62,1.54,1.52,1.57,0,0,0.58,2.05,0,0.05,0,1.35,0,0,0,0.12,0.83,0.45,0,0.85,0.36,0.21,0.42,0,0.41,0.32,0.36,0.24,0.23,0,0.17,0.22,0.21,0.36,0.18,0.21,0.17,0.17,0.17,0,0.18,0.2,0.16,0.11,0.17,0,0.16,0.15,0.14,0.18,0.03,0.16,0,0.19,0.12,0.13,0.05,0,0.12,0.16,0.11,0.1,0.11,0.08,0,0.09,0.1,0.74,0.12,0.11,0,0.09,0.11,0,0.1,0.09,0.04,0.12,0.08,0.12,0,0.09,0.07,0.05,0.07,0,0.07,0,0.12,0.07,0.06,0.06,0,0.04,0.06,0.07,0.07,0.01,0.05,0.06,0,0.06,0.03,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.09,0.03,0.05,0.04,0.03,0.05,0.04,0.04,0.04,0,0.04,0,0.03,0.04,0.03,0,0.02,0.02,0.03,0.06,0.02,0.04,0.03,0.03,0.13,0.03,0.03,0.04,0.03,0.03,0.02,0.05,0,0.03,0,0,0.03,0,0.03,0,0.03,0.08,0.02,0.03,0.03,0.03,0,0,0.02,0.02,0.02,0.03,0.05,0.03,0,0.02,0.03,0,0.07,0.02,0.04,0.02,0.02,0,0.01,0,0.02,0,0.03,0.02,0,0,0,0.02,0,0.02,0.03,0.02,0,0,0.01,0.01,0.01,0.06,0.02,0.01,0,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0,0.02,0,0,0.02,0.02,0.01,0,0.03,0.02,0.04,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0.01,0,0,0.01,0,0.01,0.01,0.01,0.01,1.1
2018-04,27.66,8.97,0.48,0.05,0,3.09,21.26,0,0,2.77,0.01,0.73,2.52,1.59,0,0.02,1.67,0.76,0.94,0.59,3.68,2.79,0.82,0.74,0,0,0.39,0.15,0.1,0.11,0,1.32,0,0,0,0.08,0.46,0.47,0,0.48,0.34,0.1,0.33,0,0.85,0.31,0.38,0.22,0.23,0,0.18,0.34,0.17,0.15,0.16,0.2,0.19,0.2,0.62,0,0.18,0.13,0.13,0.12,0.17,0,0.15,0.14,0.15,0.18,0.78,0.18,0,0.21,0.15,0.12,0.01,0,0.12,0.14,0.1,0.11,0.11,0.08,0,0.1,0.09,0.06,0.13,0.12,0,0.1,0.09,0,0.09,0.09,0.17,0.05,0.08,0.3,0,0.08,0.08,0.07,0.07,0,0.08,0,0.04,0.07,0.07,0.06,0,0.05,0.06,0.07,0.07,0.01,0.05,0.06,0,0.06,0.01,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.11,0.03,0.05,0.03,0.03,0.07,0.04,0.05,0.04,0,0.05,0,0.03,0.03,0.03,0,0.03,0.02,0.03,0.09,0.02,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0,0.03,0,0,0.02,0,0.04,0,0.03,0.01,0.02,0.02,0.03,0.02,0,0,0.02,0.02,0.03,0.03,0.09,0.03,0,0.02,0.03,0,0.04,0.02,0.02,0.03,0.02,0,0.01,0,0.01,0,0.04,0.01,0,0,0,0.01,0,0.02,0.03,0.02,0,0,0.01,0.02,0.1,0.09,0.02,0.01,0,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0,0.02,0,0,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0,0.02,0.02,0.01,0.01,0,0,0,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0,0,0,0.01,0.02,0.01,0.01,0.01,0.01,1.16
2018-05,28.24,8.98,0.46,0.19,0,23.26,1.94,0,0,2.65,0.04,0.35,2.35,1.51,0,0.36,1.28,0.71,1.3,0.58,2.05,1.68,0.7,0.39,0.07,0,0.31,0.07,1.95,1.69,0,1.28,0,0,0,0.07,0.33,0.45,0,0.32,0.36,0.07,0.27,0,0.82,0.27,0.35,0.2,0.21,0,0.14,0.38,0.17,0.09,0.12,0.18,0.18,0.19,0.71,0,0.16,0.12,0.12,0.12,0.15,0,0.14,0.13,0.13,0.16,0.67,0.13,0,0.11,0.12,0.1,0.01,0,0.14,0.11,0.09,0.1,0.1,0.14,0.17,0.09,0.08,0.01,0.09,0.1,0,0.09,0.08,0,0.08,0.08,0.25,0.04,0.07,0.32,0.08,0.08,0.07,0.06,0.07,0,0.06,0,0.04,0.08,0.06,0.06,0,0.05,0.05,0.08,0.06,0.01,0.04,0.06,0,0.05,0.01,0.04,0.05,0.04,0.04,0.03,0.06,0.04,0.05,0.07,0.04,0.04,0.03,0.04,0.06,0.03,0.03,0.03,0,0.03,0,0.03,0.03,0.03,0,0.03,0.02,0.03,0.05,0.01,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0,0.03,0.06,0,0.02,0,0.03,0,0.03,0.01,0.02,0.02,0.03,0.02,0,0,0.01,0.03,0.02,0.03,0.06,0.03,0,0.03,0.03,0,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0,0.01,0,0.02,0.02,0.05,0,0,0.01,0,0.02,0.03,0.02,0,0,0.01,0.03,0.06,0.02,0.02,0.01,0,0.02,0.01,0.01,0.02,0.01,0.02,0,0.02,0.02,0.02,0.02,0.03,0.02,0,0.1,0.01,0.01,0.09,0.01,0,0.02,0.01,0.01,0,0.02,0.01,0.01,0.01,0,0,0,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0.01,0,0,0,0.01,0.02,0.01,0.01,0.01,0.01,1.09
2018-06,29.42,9.02,0.44,15.62,0,9.08,0.45,0,0.03,2.65,0.06,0.24,2.3,1.56,0,1.15,0.48,0.71,1.39,0.61,0.16,0.67,0.67,0.29,0.22,0.57,0.22,0.05,2.56,3.35,0.01,0.96,0,0.01,0,0.06,0.23,0.44,0,0.19,0.37,0.06,0.2,0.45,0.53,0.24,0.34,0.2,0.2,0,0.12,0.4,0.15,0.2,0.1,0.19,0.18,0.17,0.29,0,0.16,0.13,0.11,0.16,0.14,0,0.14,0.13,0.12,0.13,0.03,0.09,0.01,0.08,0.11,0.09,0.01,0,0.11,0.08,0.08,0.09,0.1,0.3,0.84,0.08,0.07,0.01,0.06,0.09,0,0.09,0.07,0,0.07,0.08,0.24,0.03,0.06,0.07,0.47,0.08,0.08,0.07,0.06,0,0.06,0.1,0.04,0.06,0.06,0.05,0,0.05,0.05,0.07,0.04,0.01,0.04,0.06,0,0.04,0,0.03,0.04,0.05,0.04,0.03,0.05,0.04,0.04,0.01,0.04,0.04,0.03,0.04,0.05,0.03,0.03,0.03,0,0.03,0,0.04,0.03,0.03,0,0.02,0.1,0.03,0.03,0.02,0.02,0.03,0.03,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0,0.02,0.16,0,0.03,0,0.02,0,0.02,0.01,0.02,0.02,0.03,0.02,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.01,0.02,0.01,0.02,0.02,0.08,0.02,0,0,0,0.02,0.03,0.1,0,0,0.01,0,0.03,0.02,0.02,0,0,0.02,0.03,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0,0.02,0.02,0.01,0.02,0.05,0.01,0,0.06,0.01,0.01,0.02,0.01,0,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0,0,0,0.02,0,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,1.05
2018-07,30.26,9.33,0.51,23.66,0,0.55,0.3,0,0.04,2.59,0.6,0.18,2.33,1.56,0,1.38,0.26,0.69,1.37,0.65,0.09,0.41,0.5,0.22,3.02,2.78,0.17,0.04,0.96,0.48,0.01,0.23,0.01,0.1,0,0.05,0.17,0.42,0,0.13,0.37,0.06,0.21,1.43,0.25,0.22,0.28,0.21,0.21,0,0.11,0.4,0.13,0.29,0.09,0.33,0.17,0.16,0.16,0,0.15,0.1,0.1,0.14,0.11,0,0.13,0.12,0.12,0.11,0.01,0.09,0.63,0.05,0.1,0.1,0,0,0.09,0.06,0.08,0.08,0.09,0.13,0.25,0.09,0.07,0,0.05,0.08,0,0.08,0.06,0,0.06,0.07,0.05,0.02,0.07,0.03,0.17,0.07,0.07,0.07,0.05,0.13,0.05,0.4,0.04,0.05,0.06,0.05,0,0.06,0.05,0.02,0.03,0.01,0.04,0.06,0,0.04,0,0.02,0.04,0.04,0.04,0.02,0.04,0.03,0.04,0,0.03,0.04,0.03,0.04,0.02,0.03,0.03,0.03,0,0.03,0.01,0.03,0.03,0.03,0,0.03,0.03,0.03,0.02,0.09,0.02,0.02,0.03,0,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0,0.02,0.08,0,0.02,0,0.02,0,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.02,0.02,0.02,0.02,0.01,0.02,0,0.02,0.02,0,0.01,0.02,0.01,0.02,0.02,0.08,0.02,0,0,0.02,0.01,0.02,0.07,0,0.02,0.02,0,0.01,0.03,0.01,0,0,0.02,0.03,0.01,0,0.01,0.02,0.1,0.01,0.02,0.01,0.02,0.01,0.01,0,0.01,0.02,0.01,0.01,0.06,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0,0,0,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,1.03
2018-08,29.97,9.75,0.61,6.03,0.04,0.31,0.25,0,0.07,2.55,18.83,0.15,2.51,1.42,0.5,1.48,0.19,0.65,1.48,0.76,0.07,0.25,0.22,0.2,3.38,2.91,0.14,0.04,0.47,0.1,0.02,0.15,0.09,0.1,0,0.05,0.13,0.4,0,0.1,0.36,0.06,0.18,1.59,0.17,0.21,0.22,0.24,0.22,0,0.1,0.43,0.11,0.16,0.09,0.14,0.21,0.17,0.11,0,0.15,0.08,0.09,0.15,0.11,0,0.12,0.12,0.13,0.1,0,0.07,0.78,0.04,0.09,0.09,0,0.02,0.07,0.05,0.07,0.09,0.1,0.07,0.01,0.1,0.06,0,0.05,0.08,0,0.09,0.06,0.07,0.06,0.07,0.04,0.01,0.07,0.01,0.09,0.06,0.07,0.07,0.05,0.44,0.05,0.14,0.06,0.04,0.05,0.05,0,0.11,0.06,0.03,0.03,0,0.04,0.05,0.11,0.04,0,0.02,0.04,0.04,0.04,0.02,0.04,0.03,0.04,0,0.03,0.03,0.03,0.04,0.02,0.03,0.02,0.03,0,0.02,0.01,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.01,0.07,0.02,0.02,0.03,0,0.02,0.02,0.01,0.03,0.02,0.07,0.02,0,0.02,0.01,0.15,0.02,0.1,0.01,0,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.03,0.02,0.02,0.02,0.01,0.02,0,0.02,0.01,0,0,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.09,0.01,0.02,0,0.02,0.1,0.02,0,0.01,0.02,0.01,0,0,0.02,0.02,0,0,0.01,0.02,0.08,0.01,0.01,0.01,0.02,0.01,0.01,0,0.02,0.01,0.01,0.01,0.03,0.01,0,0,0.01,0.01,0,0.02,0,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0,1.07
2018-09,30.1,9.75,0.84,0.7,0.05,0.22,0.22,0.03,10.83,2.47,14.34,0.13,2.61,1.31,2.49,1.6,0.17,0.63,1.32,0.72,0.05,0.15,0.1,0.19,1.1,0.87,0.14,0.04,0.25,0.15,0.42,0.11,1.41,2.51,0.07,0.05,0.09,0.31,0,0.05,0.37,0.05,0.11,0.3,0.1,0.22,0.09,0.25,0.21,0,0.09,0.22,0.1,0.21,0.07,0.09,0.16,0.15,0.04,0.01,0.14,0.08,0.09,0.13,0.11,0.22,0.11,0.11,0.13,0.07,0,0.06,0.1,0.03,0.07,0.09,0,0.45,0.06,0.03,0.07,0.08,0.07,0.04,0.01,0.1,0.06,0,0.05,0.07,0,0.08,0.05,0.78,0.06,0.06,0.04,0.01,0.07,0.01,0.05,0.06,0.06,0.06,0.05,0.13,0.05,0.06,0.04,0.04,0.05,0.05,0.03,0.09,0.05,0.02,0.02,0,0.04,0.04,0.15,0.03,0,0.01,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0,0.04,0.02,0.04,0.03,0.02,0.03,0.02,0.03,0,0.02,0.02,0.03,0.03,0.03,0.06,0.03,0.02,0.02,0,0.03,0.02,0.02,0.03,0,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.04,0.02,0,0.1,0.02,0.17,0.01,0,0.02,0.01,0.02,0.02,0.01,0.02,0,0,0.02,0.01,0.02,0.01,0,0.01,0.01,0.02,0.01,0,0,0.01,0.03,0.01,0.01,0.01,0.02,0,0,0.09,0.01,0.02,0,0.02,0.08,0.02,0.09,0.01,0,0.01,0.04,0,0.02,0.02,0,0,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0,0.01,0.02,0.01,0.02,0.01,0.01,0,0,0.01,0.01,0,0.02,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.03,0.01,0.01,0.01,0,0.01,0.01,0.03,0.01,0,0,0,0.01,0.01,0.01,0,0,0,1.01
2018-10,29.41,9.85,0.67,0.46,4.14,0.17,0.19,0.04,22.6,2.52,0.78,0.11,2.57,1.18,2.47,1.68,0.16,0.62,0.64,0.72,0.05,0.09,0.06,0.17,0.12,0.36,0.12,0.03,0.17,0.17,1.36,0.08,1.64,2.99,0.66,0.04,0.07,0.27,0.02,0.04,0.33,0.04,0.08,0.12,0.06,0.22,0.07,0.24,0.2,0,0.1,0.11,0.09,0.19,0.06,0.07,0.14,0.15,0.03,0.69,0.13,0.08,0.09,0.13,0.1,0.34,0.1,0.1,0.11,0.05,0,0.05,0.01,0.03,0.07,0.07,0,0.55,0.04,0.02,0.07,0.08,0.07,0.03,0,0.09,0.07,0,0.04,0.07,0,0.07,0.04,0.23,0.05,0.06,0.04,0.01,0.07,0.01,0.03,0.05,0.05,0.06,0.05,0.06,0.05,0.04,0.04,0.03,0.04,0.05,0.11,0.08,0.03,0.02,0.02,0,0.04,0.02,0.14,0.03,0,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0,0.03,0.02,0.04,0.04,0.01,0.03,0.02,0.03,0.03,0.02,0.05,0.03,0.02,0.03,0.07,0.03,0.02,0.02,0,0.03,0.02,0.02,0.03,0,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.19,0.02,0,0.03,0.02,0.03,0.01,0,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0,0.02,0.01,0.02,0.01,0,0.01,0.06,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.03,0,0,0.03,0.01,0.02,0,0.03,0.02,0.02,0.05,0.01,0,0.01,0.1,0,0.02,0.02,0,0,0.01,0.02,0,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0.02,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.06,0,0.01,0.01,0.01,0,0,0,0.93
