,Age,Height,Weight,Gender,Left - right handed,secondary school,college/bachelor degree,masters degree,primary school,currently a primary school pupil,doctorate degree
0,20.0,163.0,48.0,female,right handed,False,True,False,False,False,False
1,19.0,163.0,58.0,female,right handed,False,True,False,False,False,False
2,20.0,176.0,67.0,female,right handed,True,False,False,False,False,False
3,22.0,172.0,59.0,female,right handed,False,True,False,False,False,False
4,20.0,170.0,59.0,female,right handed,True,False,False,False,False,False
5,20.0,186.0,77.0,male,right handed,True,False,False,False,False,False
6,20.0,177.0,50.0,female,right handed,True,False,False,False,False,False
7,19.0,184.0,90.0,male,right handed,False,True,False,False,False,False
8,18.0,166.0,55.0,female,right handed,True,False,False,False,False,False
9,19.0,174.0,60.0,female,right handed,True,False,False,False,False,False
10,19.0,175.0,60.0,female,left handed,True,False,False,False,False,False
11,17.0,176.0,60.0,female,right handed,False,False,False,True,False,False
12,24.0,168.0,55.0,female,right handed,False,True,False,False,False,False
13,19.0,165.0,55.0,female,right handed,True,False,False,False,False,False
14,22.0,175.0,57.0,female,right handed,False,True,False,False,False,False
15,18.0,177.0,77.0,male,right handed,True,False,False,False,False,False
16,19.0,175.0,65.0,female,right handed,False,True,False,False,False,False
17,20.0,168.0,65.0,female,right handed,True,False,False,False,False,False
18,18.0,181.0,78.0,male,right handed,True,False,False,False,False,False
19,18.0,188.0,90.0,male,left handed,True,False,False,False,False,False
20,20.0,186.0,77.0,male,right handed,True,False,False,False,False,False
21,24.0,186.0,85.0,male,left handed,True,False,False,False,False,False
22,22.0,167.0,70.0,female,right handed,False,True,False,False,False,False
23,20.0,168.0,54.0,female,right handed,True,False,False,False,False,False
24,19.0,167.0,51.0,female,right handed,True,False,False,False,False,False
25,20.0,170.0,56.0,female,right handed,True,False,False,False,False,False
26,22.0,165.0,63.0,female,left handed,False,True,False,False,False,False
27,19.0,163.0,50.0,female,right handed,True,False,False,False,False,False
28,20.0,187.0,80.0,male,left handed,True,False,False,False,False,False
29,19.0,168.0,60.0,female,right handed,True,False,False,False,False,False
30,25.0,183.0,87.0,male,right handed,True,False,False,False,False,False
31,22.0,177.0,80.0,female,right handed,True,False,False,False,False,False
32,20.0,158.0,46.0,female,left handed,True,False,False,False,False,False
33,27.0,170.0,70.0,female,right handed,False,False,True,False,False,False
34,20.0,177.0,67.0,male,right handed,False,True,False,False,False,False
35,19.0,170.0,72.0,female,right handed,True,False,False,False,False,False
36,18.0,173.0,65.0,female,right handed,True,False,False,False,False,False
37,21.0,185.0,101.0,male,right handed,True,False,False,False,False,False
38,23.0,168.0,60.0,female,right handed,True,False,False,False,False,False
39,21.0,155.0,46.0,female,right handed,True,False,False,False,False,False
40,26.0,172.0,62.0,female,right handed,True,False,False,False,False,False
41,20.0,188.0,80.0,male,right handed,False,True,False,False,False,False
42,19.0,170.0,90.0,female,right handed,True,False,False,False,False,False
43,20.0,163.0,55.0,female,right handed,False,True,False,False,False,False
44,25.0,170.0,67.0,female,right handed,False,False,True,False,False,False
45,27.0,181.0,78.0,male,right handed,False,False,True,False,False,False
46,21.0,163.0,55.0,female,right handed,False,True,False,False,False,False
47,19.0,170.0,60.0,female,right handed,True,False,False,False,False,False
48,20.0,171.0,70.0,female,right handed,True,False,False,False,False,False
49,20.0,157.0,41.0,female,right handed,False,False,False,True,False,False
50,19.0,175.0,60.0,female,right handed,False,True,False,False,False,False
51,19.0,,75.0,female,right handed,True,False,False,False,False,False
52,21.0,160.0,58.0,female,right handed,True,False,False,False,False,False
53,18.0,164.0,51.0,female,right handed,True,False,False,False,False,False
54,21.0,160.0,57.0,female,right handed,False,True,False,False,False,False
55,23.0,165.0,45.0,female,right handed,False,True,False,False,False,False
56,20.0,170.0,64.0,female,left handed,True,False,False,False,False,False
57,21.0,157.0,45.0,female,right handed,True,False,False,False,False,False
58,19.0,185.0,71.0,male,right handed,True,False,False,False,False,False
59,22.0,178.0,74.0,male,right handed,False,True,False,False,False,False
60,23.0,175.0,72.0,male,right handed,False,True,False,False,False,False
61,23.0,165.0,56.0,male,left handed,True,False,False,False,False,False
62,23.0,189.0,81.0,male,right handed,True,False,False,False,False,False
63,22.0,180.0,78.0,male,right handed,False,True,False,False,False,False
64,18.0,180.0,52.0,female,right handed,False,False,False,True,False,False
65,17.0,185.0,84.0,male,left handed,False,False,False,True,False,False
66,20.0,183.0,83.0,male,right handed,True,False,False,False,False,False
67,24.0,160.0,58.0,female,right handed,False,True,False,False,False,False
68,18.0,162.0,50.0,female,right handed,False,True,False,False,False,False
69,20.0,163.0,47.0,female,left handed,True,False,False,False,False,False
70,17.0,185.0,82.0,male,right handed,True,False,False,False,False,False
71,20.0,175.0,83.0,male,left handed,True,False,False,False,False,False
72,28.0,168.0,52.0,female,right handed,True,False,False,False,False,False
73,21.0,177.0,80.0,male,right handed,True,False,False,False,False,False
74,22.0,190.0,80.0,male,right handed,False,False,True,False,False,False
75,20.0,192.0,77.0,male,right handed,True,False,False,False,False,False
76,18.0,188.0,75.0,male,right handed,True,False,False,False,False,False
77,21.0,175.0,60.0,female,right handed,True,False,False,False,False,False
