"Date","Samsung","Apple","Xiaomi","Huawei","Unknown","Oppo","LG","Motorola","Mobicel","Lenovo","Nokia","BBK","Sony Ericsson","Asus","HTC","Micromax","ZTE","Lava","Alcatel","Tecno","Google","Sony","Gionee","General Mobile","Infinix","Wiko","OnePlus","Itel","Lyf","Coolpad","QMobile","Vodafone","Panasonic","LeEco","Vestel","True","RIM","Meizu","AIS","Casper","bq","Intex","Xolo","Reliance Digital","Turkcell","Karbonn","InFocus","Smartfren","Blu","Hisense","Condor","Galaxy","Symphony","dtac","Yu","Acer","i-Mobile","Spice","Kyocera","Comio","Lanix","Archos","Caterpillar","Neffos","BlackBerry","MyPhone","Sharp","Orange","Cherry Mobile","Other"
2018-01,31.81,19.64,4.85,5.26,7.52,3.45,3.48,2.64,1.62,2.87,2.04,1.35,1.34,1.1,1.12,1.24,0.62,0.49,0.46,0.38,0.43,0.37,0.46,0.56,0.26,0.26,0.19,0.2,0.32,0.27,0.13,0.21,0.17,0.16,0.2,0.15,0.18,0.12,0.15,0.18,0.12,0.11,0.07,0.11,0.12,0.08,0.07,0.08,0.08,0.05,0.04,0,0.03,0.06,0.05,0.05,0.06,0.04,0.04,0,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.37
2018-02,31.94,20.15,5.11,5.46,7.34,3.59,3.47,2.59,1.71,2.75,1.71,1.28,1.27,1.15,1.06,1.05,0.62,0.47,0.45,0.38,0.41,0.37,0.42,0.53,0.25,0.26,0.15,0.18,0.28,0.26,0.14,0.2,0.15,0.16,0.19,0.15,0.17,0.12,0.15,0.17,0.11,0.1,0.07,0.09,0.11,0.07,0.06,0.1,0.07,0.06,0.04,0,0.04,0.06,0.04,0.05,0.05,0.03,0.03,0,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.36
2018-03,31.14,20.83,4.97,5.82,8.19,3.4,3.27,2.66,1.75,2.6,1.6,1.22,1.22,1.08,1.03,1.04,0.61,0.44,0.49,0.42,0.44,0.39,0.42,0.38,0.26,0.27,0.16,0.21,0.27,0.25,0.16,0.2,0.15,0.15,0.14,0.14,0.16,0.11,0.13,0.12,0.13,0.1,0.08,0.09,0.08,0.07,0.05,0.1,0.08,0.06,0.05,0,0.05,0.06,0.04,0.05,0.05,0.03,0.03,0,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.36
2018-04,30.76,19.23,6.12,6.21,7.81,3.97,3.22,2.68,1.96,2.53,1.73,1.29,1.15,1.09,0.97,1.06,0.63,0.39,0.47,0.53,0.44,0.41,0.45,0.28,0.33,0.26,0.16,0.25,0.27,0.22,0.17,0.2,0.16,0.16,0.11,0.09,0.16,0.13,0.09,0.09,0.12,0.11,0.09,0.09,0.05,0.07,0.06,0.1,0.07,0.07,0.05,0,0.06,0.04,0.04,0.05,0.03,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.37
2018-05,30.15,18.97,7.02,6.58,7.11,4.19,3.13,2.81,2.22,2.59,1.52,1.33,1.07,1.01,0.93,1.06,0.63,0.48,0.47,0.55,0.42,0.43,0.49,0.21,0.35,0.27,0.17,0.3,0.28,0.24,0.17,0.18,0.17,0.16,0.08,0.1,0.12,0.13,0.09,0.06,0.11,0.12,0.1,0.09,0.04,0.08,0.08,0.08,0.06,0.07,0.05,0,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.38
2018-06,30.66,18.91,7.02,7.01,6.68,4.12,3.23,2.88,2.28,2.45,1.44,1.24,1.01,0.91,0.91,0.91,0.64,0.52,0.49,0.51,0.43,0.45,0.46,0.26,0.36,0.27,0.15,0.31,0.24,0.22,0.23,0.16,0.16,0.15,0.1,0.1,0.11,0.13,0.08,0.08,0.09,0.1,0.1,0.07,0.05,0.07,0.08,0.05,0.06,0.06,0.08,0,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.42
2018-07,30.7,19.4,7.34,7.15,6.14,4.23,3.26,2.81,2.45,2.3,1.33,1.19,0.96,0.91,0.88,0.8,0.61,0.51,0.62,0.47,0.43,0.46,0.43,0.29,0.33,0.28,0.16,0.29,0.22,0.2,0.21,0.15,0.15,0.14,0.11,0.1,0.1,0.13,0.08,0.09,0.08,0.09,0.1,0.07,0.05,0.07,0.08,0.05,0.06,0.07,0.06,0,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.37
2018-08,30.9,20.45,7.12,7.1,5.66,4.14,3.2,2.68,2.46,2.09,1.29,1.06,0.93,0.94,0.9,0.69,0.59,0.52,0.61,0.46,0.43,0.47,0.39,0.42,0.32,0.33,0.31,0.27,0.2,0.17,0.19,0.16,0.13,0.13,0.16,0.14,0.09,0.11,0.1,0.13,0.09,0.08,0.09,0.06,0.07,0.06,0.07,0.04,0.06,0.06,0.06,0,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.35
2018-09,30.8,20.66,7.39,7.57,4.76,4.35,3.11,2.67,2.63,2.06,1.24,1.03,0.87,0.97,0.84,0.68,0.57,0.55,0.58,0.48,0.45,0.49,0.38,0.3,0.34,0.41,0.45,0.27,0.19,0.17,0.18,0.14,0.13,0.12,0.12,0.16,0.08,0.1,0.11,0.09,0.11,0.08,0.09,0.06,0.05,0.06,0.08,0.03,0.05,0.06,0.06,0,0.05,0.05,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.34
2018-10,30.07,22.34,7.26,7.37,4.81,4.14,3.12,2.78,2.69,2,1.25,0.93,0.81,0.93,0.83,0.67,0.52,0.5,0.58,0.45,0.48,0.48,0.34,0.33,0.34,0.36,0.45,0.27,0.17,0.16,0.16,0.13,0.12,0.11,0.13,0.14,0.07,0.1,0.09,0.1,0.1,0.08,0.08,0.05,0.05,0.05,0.07,0.03,0.05,0.06,0.06,0,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.32
